tax	taxprio	taxprio_orig	taxo_id	patrimonial	invasif	Ordre	Family
Ichthyosaura alpestris	Triturus alpestris	Triturus alpestris	7467	1	0	Amphibiens	Salamandridae
Mustela nivalis	Mustela nivalis	Mustela nivalis	12946	0	0	Mammifères	Mustelidae
Anser anser	Anser anser	Anser anser	6449	0	0	Oiseaux	Anatidae
Micromys minutus	Micromys minutus	Micromys minutus	12886	0	0	Mammifères	Muridae
Pic épeiche d'Europe centrale	Dendrocopos major pinetorum	Dendrocopos major pinetorum	15842	0	0	Oiseaux	Picidae
Cabera sp.	Cabera 	Cabera sp.	1697	0	0	Hétérocères	Geometridae
Unio crassus	Unio crassus	Unio crassus	12969	1	0	Mollusques bivalves	Unionidae
Contarinia acerplicans	Contarinia acerplicans	Contarinia acerplicans	33356	0	0	Diptères	Cecidomyiidae
Eriophyes padi	Eriophyes padi	Eriophyes padi	33089	0	0	Acariens	Eriophyidae
Apion longirostre	Apion longirostre	Apion longirostre	99478	0	0	Coléoptères	Curculionidae
Cordulégastre bidenté	Cordulegaster bidentata	Cordulegaster bidentata	6333	1	0	Libellules	Cordulegasteridae
Locustelle luscinioïde	Locustella luscinioides	Locustella luscinioides	6944	1	0	Oiseaux	Sylviidae
Sterne caspienne	Sterna caspia	Sterna caspia	7305	0	0	Oiseaux	Sternidae
Agrion de mercure	Coenagrion mercuriale	Coenagrion mercuriale	6310	1	0	Libellules	Coenagrionidae
cercops écarlate	Cercops écarlate	Cercops écarlate	99940	0	0	Homoptères	Cercopidae
Sympétrum jaune d'or	Sympetrum flaveolum	Sympetrum flaveolum	6350	1	0	Libellules	Libellulidae
Chrysolina coerulans	Chrysolina coerulans	Chrysolina coerulans	35469	0	0	Coléoptères	Chrysomelidae
Lasioptera carophila	Lasioptera carophila	Lasioptera carophila	33562	0	0	Diptères	Cecidomyiidae
Coccinelle fulgurante	Platynaspis luteorubra	Platynaspis luteorubra	12849	0	0	Coccinelles	Chilocorinae
Palomena viridissima	Palomena viridissima	Palomena viridissima	9900	0	0	Hétéroptères	Pentatomidae
Merops apiaster	Merops apiaster	Merops apiaster	6976	1	0	Oiseaux	Meropidae
Criquet des marais	Stethophyma grossum	Stethophyma grossum	10027	1	0	Orthoptères	Acrididae
Acalitus brevitarsus	Acalitus brevitarsus	Acalitus brevitarsus	32828	0	0	Acariens	Eriophyidae
Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus cuniculus	12900	0	0	Mammifères	Leporidae
Dichochrysa prasina	Dichochrysa prasina	Dichochrysa prasina	100477	0	0	Névroptères	Chrysopidae
Eucera sp.	Eucera 	Eucera sp.	3098	0	0	Hyménoptères	Anthophoridae
Stratiomys longicornis	Stratiomys longicornis	Stratiomys longicornis	103331	0	0	Diptères	Stratiomyidae
Odontomyia ornata	Odontomyia ornata	Odontomyia ornata	102040	0	0	Diptères	Stratiomyidae
Squalius cephalus	Squalius cephalus	Squalius cephalus	8435	0	0	Poissons	Cyprinidae
Bena bicolorana	Bena bicolorana	Bena bicolorana	8299	0	0	Hétérocères	Nolidae
Abia sericea	Abia sericea	Abia sericea	12724	0	0	Hyménoptères	Cimbicidae
Saperda populnea	Saperda populnea	Saperda populnea	33163	0	0	Coléoptères	Cerambycidae
Margaritifera sp.	Margaritifera 	Margaritifera sp.	3359	0	0	Mollusques bivalves	Margaritiferidae
Mustela putorius	Mustela putorius	Mustela putorius	98999	0	0	Mammifères	Mustelidae
Tringa nebularia	Tringa nebularia	Tringa nebularia	7388	0	0	Oiseaux	Scolopacidae
Mustela sp.	Mustela 	Mustela sp.	3347	0	0	Mammifères	Mustelidae
Felis catus	Felis catus	Felis catus	12953	0	0	Mammifères	Felidae
Anguille	Anguilla anguilla	Anguilla anguilla	8404	0	0	Poissons	Anguillidae
Hylaeus sp.	Hylaeus 	Hylaeus sp.	3066	0	0	Hyménoptères	Colletidae
Phytomyza spondylii	Phytomyza spondylii	Phytomyza spondylii	102610	0	0	Diptères	Agromyzidae
Agromyza igniceps	Agromyza igniceps	Agromyza igniceps	99216	0	0	Diptères	Agromyzidae
Caloptilia cuculipennella	Caloptilia cuculipennella	Caloptilia cuculipennella	99824	0	0	Hétérocères	Gracillariidae
Bedellia somnulentella	Bedellia somnulentella	Bedellia somnulentella	99682	0	0	Hétérocères	Bedelliidae 
Dasineura trifolii	Dasineura trifolii	Dasineura trifolii	33489	0	0	Diptères	Cecidomyiidae
Rabdophaga iteobia	Rabdophaga iteobia	Rabdophaga iteobia	33656	0	0	Diptères	Cecidomyiidae
Amauromyza verbasci	Amauromyza verbasci	Amauromyza verbasci	99279	0	0	Diptères	Agromyzidae
Anisoptera sp.	Anisoptera 	Anisoptera sp.	99365	0	0	Libellules	
Locustelle fluviatile	Locustella fluviatilis	Locustella fluviatilis	6942	1	0	Oiseaux	Sylviidae
Formica picea	Formica picea	Formica picea	11579	0	0	Hyménoptères	Formicidae
Haliplus wehnckei	Haliplus wehnckei	Haliplus wehnckei	8720	0	0	Coléoptères	Haliplidae
Chaoborus sp.	Chaoborus 	Chaoborus sp.	2249	0	0	Diptères	Chaoboridae
Laccophilus minutus	Laccophilus minutus	Laccophilus minutus	8638	0	0	Coléoptères	Dytiscidae
